"","occurrenceID","braun.blanquet","measurementValue","measurementType","measurementTypeID","measurementUnit","measurementUnitID"
"67","2020-07-17T09:39:57Z_EAC_Cole_Harbour_G0060279_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"68","2020-07-17T09:40:07Z_EAC_Cole_Harbour_G0060280_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"69","2020-07-17T09:40:17Z_EAC_Cole_Harbour_G0060281_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"70","2020-07-17T09:40:27Z_EAC_Cole_Harbour_G0060282_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"71","2020-07-17T09:40:37Z_EAC_Cole_Harbour_G0060283_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"72","2020-07-17T09:40:47Z_EAC_Cole_Harbour_G0060284_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"73","2020-07-17T09:40:57Z_EAC_Cole_Harbour_G0060285_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"74","2020-07-17T09:41:07Z_EAC_Cole_Harbour_G0060286_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"75","2020-07-17T09:41:17Z_EAC_Cole_Harbour_G0060287_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"76","2020-07-17T09:41:27Z_EAC_Cole_Harbour_G0060288_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"77","2020-07-17T09:41:37Z_EAC_Cole_Harbour_G0060289_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"78","2020-07-17T09:41:47Z_EAC_Cole_Harbour_G0060290_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"79","2020-07-17T09:41:57Z_EAC_Cole_Harbour_G0060291_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"80","2020-07-17T09:42:07Z_EAC_Cole_Harbour_G0060292_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"81","2020-07-17T09:42:17Z_EAC_Cole_Harbour_G0060293_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"82","2020-07-17T09:42:27Z_EAC_Cole_Harbour_G0060294_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"83","2020-07-17T09:42:37Z_EAC_Cole_Harbour_G0060295_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"84","2020-07-17T09:42:47Z_EAC_Cole_Harbour_G0060296_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"85","2020-07-17T09:42:57Z_EAC_Cole_Harbour_G0060297_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"86","2020-07-17T09:43:06Z_EAC_Cole_Harbour_G0060298_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"87","2020-07-17T09:43:17Z_EAC_Cole_Harbour_G0060299_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"88","2020-07-17T09:43:27Z_EAC_Cole_Harbour_G0060300_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"89","2020-07-17T09:43:37Z_EAC_Cole_Harbour_G0060301_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"90","2020-07-17T09:43:47Z_EAC_Cole_Harbour_G0060302_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"91","2020-07-17T09:43:57Z_EAC_Cole_Harbour_G0060303_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"92","2020-07-17T09:44:07Z_EAC_Cole_Harbour_G0060304_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"93","2020-07-17T09:44:17Z_EAC_Cole_Harbour_G0060305_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"94","2020-07-17T09:44:27Z_EAC_Cole_Harbour_G0060306_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"95","2020-07-17T09:44:37Z_EAC_Cole_Harbour_G0060307_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"96","2020-07-17T09:44:47Z_EAC_Cole_Harbour_G0060308_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"97","2020-07-17T09:44:57Z_EAC_Cole_Harbour_G0060309_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"98","2020-07-17T09:45:07Z_EAC_Cole_Harbour_G0060310_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"99","2020-07-17T09:45:17Z_EAC_Cole_Harbour_G0060311_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"100","2020-07-17T09:45:27Z_EAC_Cole_Harbour_G0060312_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"101","2020-07-17T09:45:37Z_EAC_Cole_Harbour_G0060313_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"102","2020-07-17T09:45:47Z_EAC_Cole_Harbour_G0060314_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"103","2020-07-17T09:45:57Z_EAC_Cole_Harbour_G0060315_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"104","2020-07-17T09:46:07Z_EAC_Cole_Harbour_G0060316_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"105","2020-07-17T09:46:17Z_EAC_Cole_Harbour_G0060317_495077",3,"25-50","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"106","2020-07-17T09:46:27Z_EAC_Cole_Harbour_G0060318_495077",3,"25-50","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"107","2020-07-17T09:46:37Z_EAC_Cole_Harbour_G0060319_495077",4,"50-75","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"108","2020-07-17T09:46:47Z_EAC_Cole_Harbour_G0060320_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"109","2020-07-17T09:46:57Z_EAC_Cole_Harbour_G0060321_495077",4,"50-75","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"110","2020-07-17T09:47:07Z_EAC_Cole_Harbour_G0060322_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"111","2020-07-17T09:47:17Z_EAC_Cole_Harbour_G0060323_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"112","2020-07-17T09:47:27Z_EAC_Cole_Harbour_G0060324_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"113","2020-07-17T09:47:37Z_EAC_Cole_Harbour_G0060325_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"114","2020-07-17T09:47:47Z_EAC_Cole_Harbour_G0060326_495077",3,"25-50","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"115","2020-07-17T09:47:57Z_EAC_Cole_Harbour_G0060327_495077",2,"44341","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"116","2020-07-17T09:48:07Z_EAC_Cole_Harbour_G0060328_495077",3,"25-50","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"117","2020-07-17T09:48:17Z_EAC_Cole_Harbour_G0060329_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"118","2020-07-17T09:48:27Z_EAC_Cole_Harbour_G0060330_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"119","2020-07-17T09:48:37Z_EAC_Cole_Harbour_G0060331_495077",0.5,"<5","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
